Accident Index,Timestamp,severity,Casualties,Number of Casualties,Number of Vehicles,url,apiUrl,Latitude,Longitude
200701CP00102,"11:30am, 17th April 2007",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200701CP00102/,https://api.cyclestreets.net/v2/collisions.location?id=200701CP00102,51.511818,-0.103943
200701CP00118,"10:35am, 2nd May 2007",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200701CP00118/,https://api.cyclestreets.net/v2/collisions.location?id=200701CP00118,51.511016,-0.104409
200701CP00168,"4:10pm, 14th June 2007",slight,Cyclist,1,1,https://www.cyclestreets.net/collisions/reports/200701CP00168/,https://api.cyclestreets.net/v2/collisions.location?id=200701CP00168,51.510908,-0.10326
200701CP00187,"12:07pm, 18th July 2007",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200701CP00187/,https://api.cyclestreets.net/v2/collisions.location?id=200701CP00187,51.510839,-0.10456
200701CP00222,"8:10am, 24th August 2007",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200701CP00222/,https://api.cyclestreets.net/v2/collisions.location?id=200701CP00222,51.510749,-0.104564
200701CP00272,"9:15am, 11th October 2007",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200701CP00272/,https://api.cyclestreets.net/v2/collisions.location?id=200701CP00272,51.511735,-0.104379
200701CP00325,"11:30am, 17th November 2007",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200701CP00325/,https://api.cyclestreets.net/v2/collisions.location?id=200701CP00325,51.510839,-0.10456
200801CP00011,"1:45pm, 7th January 2008",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200801CP00011/,https://api.cyclestreets.net/v2/collisions.location?id=200801CP00011,51.510926,-0.104412
200801CP00025,"4:44pm, 26th January 2008",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200801CP00025/,https://api.cyclestreets.net/v2/collisions.location?id=200801CP00025,51.512184,-0.10436
200801CP00143,"7:10am, 23rd June 2008",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200801CP00143/,https://api.cyclestreets.net/v2/collisions.location?id=200801CP00143,51.51197,-0.102207
200801CP00160,"8:40am, 9th July 2008",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200801CP00160/,https://api.cyclestreets.net/v2/collisions.location?id=200801CP00160,51.510749,-0.104564
200801CP00216,"9:37am, 12th September 2008",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200801CP00216/,https://api.cyclestreets.net/v2/collisions.location?id=200801CP00216,51.510749,-0.104564
200901CP00020,"8:34am, 11th February 2009",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200901CP00020/,https://api.cyclestreets.net/v2/collisions.location?id=200901CP00020,51.510749,-0.104564
200901CP00106,"5:50am, 7th May 2009",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200901CP00106/,https://api.cyclestreets.net/v2/collisions.location?id=200901CP00106,51.511998,-0.103935
200901CP00139,"7:04am, 17th June 2009",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200901CP00139/,https://api.cyclestreets.net/v2/collisions.location?id=200901CP00139,51.511986,-0.103215
201001CP00085,"6:05pm, 20th April 2010",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201001CP00085/,https://api.cyclestreets.net/v2/collisions.location?id=201001CP00085,51.51191,-0.104083
201001CP00100,"8:48am, 22nd March 2010",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201001CP00100/,https://api.cyclestreets.net/v2/collisions.location?id=201001CP00100,51.510889,-0.102108
201001CP00102,"9:04am, 11th May 2010",slight,Cyclist,1,1,https://www.cyclestreets.net/collisions/reports/201001CP00102/,https://api.cyclestreets.net/v2/collisions.location?id=201001CP00102,51.51206,-0.102203
201001CP00240,"7:26pm, 24th August 2010",slight,Cyclist,1,1,https://www.cyclestreets.net/collisions/reports/201001CP00240/,https://api.cyclestreets.net/v2/collisions.location?id=201001CP00240,51.512078,-0.103356
201001CP00270,"5:58pm, 29th November 2010",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201001CP00270/,https://api.cyclestreets.net/v2/collisions.location?id=201001CP00270,51.512,-0.104079
201001CP00278,"4:30pm, 23rd November 2010",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201001CP00278/,https://api.cyclestreets.net/v2/collisions.location?id=201001CP00278,51.510988,-0.10268
201001CP00316,"7:45am, 18th October 2010",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201001CP00316/,https://api.cyclestreets.net/v2/collisions.location?id=201001CP00316,51.511558,-0.10453
201001CP00333,"7:40am, 1st October 2010",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201001CP00333/,https://api.cyclestreets.net/v2/collisions.location?id=201001CP00333,51.512067,-0.102635
201001CP00338,"8:30am, 1st November 2010",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201001CP00338/,https://api.cyclestreets.net/v2/collisions.location?id=201001CP00338,51.512182,-0.104216
201001CP00361,"8:05am, 10th December 2010",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201001CP00361/,https://api.cyclestreets.net/v2/collisions.location?id=201001CP00361,51.511965,-0.101919
201001CW11697,"7:45pm, 9th August 2010",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201001CW11697/,https://api.cyclestreets.net/v2/collisions.location?id=201001CW11697,51.511106,-0.104405
201101CP00011,"5:23pm, 14th January 2011",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201101CP00011/,https://api.cyclestreets.net/v2/collisions.location?id=201101CP00011,51.510931,-0.1047
201101CP00016,"2:40pm, 19th January 2011",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201101CP00016/,https://api.cyclestreets.net/v2/collisions.location?id=201101CP00016,51.510933,-0.104844
201101CP00017,"11:00am, 18th January 2011",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201101CP00017/,https://api.cyclestreets.net/v2/collisions.location?id=201101CP00017,51.511998,-0.103935
201101CP00032,"9:50am, 27th January 2011",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201101CP00032/,https://api.cyclestreets.net/v2/collisions.location?id=201101CP00032,51.511903,-0.103651
201101CP00048,"12:26pm, 7th February 2011",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201101CP00048/,https://api.cyclestreets.net/v2/collisions.location?id=201101CP00048,51.510919,-0.10398
201101CP00062,"6:45pm, 14th February 2011",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201101CP00062/,https://api.cyclestreets.net/v2/collisions.location?id=201101CP00062,51.511967,-0.102063
201101CP00097,"11:40am, 29th March 2011",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201101CP00097/,https://api.cyclestreets.net/v2/collisions.location?id=201101CP00097,51.511967,-0.102063
201101CP00109,"12:16pm, 9th April 2011",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201101CP00109/,https://api.cyclestreets.net/v2/collisions.location?id=201101CP00109,51.510917,-0.103836
201101CP00166,"3:23pm, 15th June 2011",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201101CP00166/,https://api.cyclestreets.net/v2/collisions.location?id=201101CP00166,51.510816,-0.10312
201101CP00185,"8:10am, 11th July 2011",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201101CP00185/,https://api.cyclestreets.net/v2/collisions.location?id=201101CP00185,51.51182,-0.104087
201101CP00227,"6:59pm, 18th August 2011",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201101CP00227/,https://api.cyclestreets.net/v2/collisions.location?id=201101CP00227,51.511908,-0.103939
201101CP00238,"6:02pm, 22nd August 2011",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201101CP00238/,https://api.cyclestreets.net/v2/collisions.location?id=201101CP00238,51.510952,-0.105996
201101CP00249,"11:15pm, 3rd September 2011",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201101CP00249/,https://api.cyclestreets.net/v2/collisions.location?id=201101CP00249,51.510836,-0.104416
201101CP00359,"1:43pm, 20th December 2011",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201101CP00359/,https://api.cyclestreets.net/v2/collisions.location?id=201101CP00359,51.512002,-0.104223
201101CP00376,"2:15pm, 1st December 2011",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201101CP00376/,https://api.cyclestreets.net/v2/collisions.location?id=201101CP00376,51.510659,-0.104567
201201CP00044,"8:05am, 12th February 2012",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201201CP00044/,https://api.cyclestreets.net/v2/collisions.location?id=201201CP00044,51.510839,-0.10456
201201CP00103,"8:22am, 2nd April 2012",serious,Cyclist,1,1,https://www.cyclestreets.net/collisions/reports/201201CP00103/,https://api.cyclestreets.net/v2/collisions.location?id=201201CP00103,51.510988,-0.10268
201201CP00158,"3:45pm, 3rd February 2012",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201201CP00158/,https://api.cyclestreets.net/v2/collisions.location?id=201201CP00158,51.511019,-0.104553
201201CP00199,"6:15pm, 5th July 2012",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201201CP00199/,https://api.cyclestreets.net/v2/collisions.location?id=201201CP00199,51.512,-0.104079
201201CP00218,"12:50am, 24th July 2012",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201201CP00218/,https://api.cyclestreets.net/v2/collisions.location?id=201201CP00218,51.510975,-0.107437
201201CP00225,"10:10am, 24th July 2012",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201201CP00225/,https://api.cyclestreets.net/v2/collisions.location?id=201201CP00225,51.510839,-0.10456
201201CP00237,"2:23pm, 26th July 2012",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201201CP00237/,https://api.cyclestreets.net/v2/collisions.location?id=201201CP00237,51.510888,-0.107584
201201CP00243,"11:39am, 2nd August 2012",serious,Cyclist,1,1,https://www.cyclestreets.net/collisions/reports/201201CP00243/,https://api.cyclestreets.net/v2/collisions.location?id=201201CP00243,51.51191,-0.104083
201201CP00251,"8:20am, 13th August 2012",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201201CP00251/,https://api.cyclestreets.net/v2/collisions.location?id=201201CP00251,51.51094,-0.105276
201201CP00278,"7:00am, 10th September 2012",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201201CP00278/,https://api.cyclestreets.net/v2/collisions.location?id=201201CP00278,51.510982,-0.107869
201201CP00279,"8:35am, 6th September 2012",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201201CP00279/,https://api.cyclestreets.net/v2/collisions.location?id=201201CP00279,51.510839,-0.10456
201201CP00374,"7:30am, 19th November 2012",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201201CP00374/,https://api.cyclestreets.net/v2/collisions.location?id=201201CP00374,51.510917,-0.103836
201201CP00393,"8:12am, 4th December 2012",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201201CP00393/,https://api.cyclestreets.net/v2/collisions.location?id=201201CP00393,51.510984,-0.102392
201301CP00003,"5:00pm, 5th January 2013",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201301CP00003/,https://api.cyclestreets.net/v2/collisions.location?id=201301CP00003,51.510984,-0.102393
201301CP00017,"5:45pm, 28th February 2013",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201301CP00017/,https://api.cyclestreets.net/v2/collisions.location?id=201301CP00017,51.510976,-0.107437
201301CP00100,"8:05am, 31st May 2013",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201301CP00100/,https://api.cyclestreets.net/v2/collisions.location?id=201301CP00100,51.511821,-0.104087
201301CP00101,"4:09pm, 23rd May 2013",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201301CP00101/,https://api.cyclestreets.net/v2/collisions.location?id=201301CP00101,51.510895,-0.108017
201301CP00134,"9:15am, 20th June 2013",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201301CP00134/,https://api.cyclestreets.net/v2/collisions.location?id=201301CP00134,51.510839,-0.10456
201301CP00171,"9:15am, 10th July 2013",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201301CP00171/,https://api.cyclestreets.net/v2/collisions.location?id=201301CP00171,51.511045,-0.106137
